Idx 57; By LR; LR Iter5 %: 0.16; BT Iter1 %: 0.05; LR Acc: 42.11 | BT Acc: 52.08 | LM Acc: 86.67 | TT Acc: 82.46
Idx 58; By LR; LR Iter5 %: 0.17; BT Iter1 %: 0.05; LR Acc: 43.10 | BT Acc: 52.08 | LM Acc: 86.67 | TT Acc: 82.76
Idx 59; By LR; LR Iter5 %: 0.19; BT Iter1 %: 0.05; LR Acc: 42.37 | BT Acc: 52.08 | LM Acc: 86.67 | TT Acc: 81.36
Idx 60; By LR; LR Iter5 %: 0.20; BT Iter1 %: 0.05; LR Acc: 43.33 | BT Acc: 52.08 | LM Acc: 86.67 | TT Acc: 81.67
Idx 61; By LM; LR Iter5 %: 0.20; BT Iter1 %: 0.05; LR Acc: 42.62 | BT Acc: 53.06 | LM Acc: 86.96 | TT Acc: 81.97
Idx 62; By LR; LR Iter5 %: 0.21; BT Iter1 %: 0.05; LR Acc: 43.55 | BT Acc: 53.06 | LM Acc: 86.96 | TT Acc: 82.26
Idx 63; By LM; LR Iter5 %: 0.21; BT Iter1 %: 0.05; LR Acc: 42.86 | BT Acc: 54.00 | LM Acc: 87.23 | TT Acc: 82.54
Idx 64; By LM; LR Iter5 %: 0.20; BT Iter1 %: 0.05; LR Acc: 42.19 | BT Acc: 54.90 | LM Acc: 87.50 | TT Acc: 82.81
Idx 65; By LM; LR Iter6 %: 0.20; BT Iter1 %: 0.05; LR Acc: 43.08 | BT Acc: 55.77 | LM Acc: 87.76 | TT Acc: 83.08
Idx 66; By LM; LR Iter6 %: 0.20; BT Iter1 %: 0.05; LR Acc: 42.42 | BT Acc: 54.72 | LM Acc: 88.00 | TT Acc: 83.33
Idx 67; By LR; LR Iter6 %: 0.21; BT Iter1 %: 0.04; LR Acc: 43.28 | BT Acc: 54.72 | LM Acc: 88.00 | TT Acc: 83.58
Idx 68; By LM; LR Iter6 %: 0.21; BT Iter1 %: 0.04; LR Acc: 44.12 | BT Acc: 55.56 | LM Acc: 88.24 | TT Acc: 83.82
Idx 69; By BT; LR Iter6 %: 0.20; BT Iter1 %: 0.06; LR Acc: 43.48 | BT Acc: 54.55 | LM Acc: 88.24 | TT Acc: 82.61
Idx 70; By LR; LR Iter6 %: 0.21; BT Iter1 %: 0.06; LR Acc: 44.29 | BT Acc: 54.55 | LM Acc: 88.24 | TT Acc: 82.86
Idx 71; By LR; LR Iter6 %: 0.23; BT Iter1 %: 0.06; LR Acc: 43.66 | BT Acc: 54.55 | LM Acc: 88.24 | TT Acc: 81.69
Idx 72; By LM; LR Iter6 %: 0.22; BT Iter1 %: 0.06; LR Acc: 43.06 | BT Acc: 53.57 | LM Acc: 88.46 | TT Acc: 81.94
Idx 73; By LM; LR Iter6 %: 0.22; BT Iter1 %: 0.05; LR Acc: 42.47 | BT Acc: 52.63 | LM Acc: 88.68 | TT Acc: 82.19
